"","d","p","q","RMSE","AIC"
"199",3,2,5,0.0907954249994068,-35220.1140877546
"200",3,2,6,0.0906558574913991,-35253.9353972124
"201",3,2,7,0.0908311449773163,-35228.6121781898
"202",3,3,0,0.133216937180363,-26210.7801900102
"203",3,3,1,0.103018486327767,-32596.1388954158
"204",3,3,2,0.0909859915753473,-35129.9093341068
"205",3,3,3,0.0907161215489303,-35220.3131404416
"206",3,3,4,0.0907768049915426,-35220.0480451196
"207",3,3,5,0.0901810816239264,-35347.9299633563
"208",3,3,6,0.0901653205168854,-35006.1695521114
"209",3,3,7,0.0905666606660993,-35007.3286970463
"210",3,4,0,0.124488712391989,-27546.6855670259
"211",3,4,1,0.100321195539937,-33016.5173004878
"212",3,4,2,0.0906916704204602,-35182.9636438393
"213",3,4,3,0.0910094866164261,-35175.1389962827
"214",3,4,4,0.0923742673854026,-34765.6709755483
"215",3,4,5,0.0900879241061768,-35336.7474902093
"216",3,4,6,0.0905713553468541,-35275.6187992843
"217",3,4,7,0.0905143020503749,-35221.9207733383
"218",3,5,0,0.122541702689905,-28537.4059723876
"219",3,5,1,0.0996229470634559,-33393.3988151335
"220",3,5,2,0.0905133445336132,-35148.8190888603
"221",3,5,3,0.0908032347067855,-35204.1951631455
"222",3,5,4,0.0905682584658379,-35263.4776183608
"223",3,5,5,0.0906631743036974,-35252.8040330275
"224",3,5,6,0.0907116344394243,-35201.1644324346
"225",3,5,7,0.0904729940682379,-35210.6696901079
"226",3,6,0,0.117492878678279,-29293.9483663464
"227",3,6,1,0.0968262424009446,-33690.9700373279
"228",3,6,2,0.0905162198979504,-35204.0478958516
"229",3,6,3,0.0905411261290143,-35161.5928372996
"230",3,6,4,0.0904169406514653,-35281.9528827876
"231",3,6,5,0.0902360625624476,-35246.5494831765
"232",3,6,6,0.0911944226701288,-35188.8107943959
"233",3,6,7,0.0902021925593619,-35290.2366060388
"234",3,7,0,0.111246864396542,-29996.1352754975
"235",3,7,1,0.0958666365243526,-33945.8002600714
"236",3,7,2,0.0930539472093691,-34370.5852230253
"237",3,7,3,0.0909336932260402,-35232.1392622481
"238",3,7,4,0.0905759182049264,-35223.2504423758
"239",3,7,5,0.0902571999757161,-35265.3566599986
"240",3,7,6,0.0904854688841097,-35224.0927052597
"241",3,7,7,0.0899229969246941,-35242.8187194217
