"","da","pa","qa","pg","qg","RMSE","AIC"
"108",0,1,0,0,3,0.0896743224754449,-2.79141015215084
"109",0,1,0,1,0,0.0897526945942919,-2.92962781707173
"110",0,1,0,1,1,0.0897576212308245,-3.3093490297101
"111",0,1,0,1,2,0.0897583784285882,-3.30910963178528
"112",0,1,0,1,3,0.0896049139640878,-3.27151583083911
"113",0,1,0,2,0,0.0897836345941087,-3.0083626378975
"114",0,1,0,2,1,0.089757755349216,-3.30906039735742
"115",0,1,0,2,2,0.0897566646582043,-3.30935584811326
"116",0,1,0,2,3,0.0897667410614422,-3.30984865096621
"117",0,1,0,3,0,0.0896444374212919,-3.09727342809175
"118",0,1,0,3,1,0.08975754719224,-3.30879265284884
"119",0,1,0,3,2,0.0897565988289795,-3.30907860864828
"120",0,1,0,3,3,0.0897783270951797,-3.31019117925669
"121",0,1,1,0,1,0.0900434620246514,-2.78871930677102
"122",0,1,1,0,2,0.0899020599354038,-2.80288334943375
"123",0,1,1,0,3,0.0899025689915169,-2.80272513834285
"124",0,1,1,1,0,0.0898018811142482,-2.93848452693691
"125",0,1,1,1,1,0.0897966858783747,-3.31060392272147
"126",0,1,1,1,2,0.0897969095556045,-3.3103434402281
"127",0,1,1,1,3,0.0897976473050164,-3.31033886845603
"128",0,1,1,2,0,0.0898485255312807,-3.01837537094266
"129",0,1,1,2,1,0.0897964758312268,-3.31031545108641
"130",0,1,1,2,2,0.0897952688928576,-3.31063559216441
"131",0,1,1,2,3,0.0898022442396528,-3.31104596747736
"132",0,1,1,3,0,0.0897469768258738,-3.0993834950411
"133",0,1,1,3,1,0.0897965878882296,-3.31004742530664
"134",0,1,1,3,2,0.0897951893014633,-3.31035821187407
"135",0,1,1,3,3,0.0898145672582077,-3.3114134424503
"136",0,1,2,0,1,0.0899251316023392,-2.8034971004765
"137",0,1,2,0,2,0.0897489369866176,-2.79463404691271
"138",0,1,2,0,3,0.0897532078845914,-2.79445413092413
"139",0,1,2,1,0,0.0898190464174305,-2.93943186096415
"140",0,1,2,1,1,0.0897501226570655,-3.30169413099398
"141",0,1,2,1,2,0.0898058361614012,-3.31058445097695
"142",0,1,2,1,3,0.0896754987941148,-3.29007143857659
"143",0,1,2,2,0,0.0898635500367004,-3.01826133853982
"144",0,1,2,2,1,0.0898054720170454,-3.31055637212489
"145",0,1,2,2,2,0.0898045287727964,-3.31088130127339
"146",0,1,2,2,3,0.0898116079276597,-3.31129507472149
"147",0,1,2,3,0,0.08975885556431,-3.0992949837949
"148",0,1,2,3,1,0.0898055829091656,-3.31028804819601
"149",0,1,2,3,2,0.0898044590676335,-3.3106033470967
"150",0,1,2,3,3,0.0898234923773985,-3.31163231331283
"151",0,1,3,0,1,0.0899227653162847,-2.80333827376209
"152",0,1,3,0,2,0.0897851648200705,-2.79433988926578
"153",0,1,3,0,3,0.0897367206467005,-2.79428591299055
"154",0,1,3,1,0,0.0897920484425402,-2.93928932660586
"155",0,1,3,1,1,0.0897564196491957,-3.31062972810495
"156",0,1,3,1,2,0.0897570062090612,-3.31049713125071
"157",0,1,3,1,3,0.0897584499939755,-3.31060351564253
"158",0,1,3,2,0,0.089779736818304,-3.01894443810139
"159",0,1,3,2,1,0.0896404155315744,-3.29489953582379
"160",0,1,3,2,2,0.0897529919300218,-3.30130497508252
